"DataCatalog_id","Name","Acronym","Description","URL","Type","Language Supported","Periodicity","Economy Coverage","Granularity","List of Countries/Regions/Sub-National Admins","Number of Economies","Data Notes","Topics","Update Frequency","Update Schedule","Last Revision Date","Contact Details","Access Option","Bulk Download","API","Attribution/citation","SourceURL","DetailPageURL","Coverage","APIAccessURL"
"11.0","Enterprise Surveys","ES","Enterprise Surveys provide firm-level data from over 135,000 establishments in 135 countries. Data are used to create over 100 indicators that benchmark the quality of the business environment across the globe. Each country is surveyed every 3 to 4 years. In addition to country-level aggregated data, firm-level data are available to registered users on the Enterprise Surveys site at http://www.enterprisesurveys.org/nada.","http://www.enterprisesurveys.org/CustomQuery","Survey(Microdata)","English","Annual","EAP, ECA, LAC, MNA, SAS, SSA, LMY, IBRD, IDA","National;Regional","","135.0","Derived from microdata","Financial Sector, Private Sector","No fixed schedule","Varies by regions and countries in the regions","","rru@worldbank.org","API, Query tool","","1.0","Enterprise Surveys, The World Bank","","http://data.worldbank.org/data-catalog/enterprise-surveys","","http://data.worldbank.org/developers"
"12.0","Gender Statistics","GenderStats","The Gender Statistics database provides indicators on key gender topics. Themes included are demographics, education, health, labor force, and political participation.","http://databank.worldbank.org/Data/Views/VariableSelection/SelectVariables.aspx?source=Gender Statistics","Time series","English","Annual","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National;Regional","","213.0","","Gender","Quarterly","April, July, September, December","41540.0","data@worldbank.org","API, Bulk download, Query tool","GenderStats (Excel) - ZIP(6.61 MB)=http://databank.worldbank.org/data/download/Gender_Stats_Excel.zip=excel;GenderStats (CSV) - ZIP(3.86 MB)=http://databank.worldbank.org/data/download/Gender_Stats_csv.zip=csv","1.0","GenderStats, The World Bank","","http://data.worldbank.org/data-catalog/gender-statistics","1960 - 2011","http://data.worldbank.org/developers"
"13.0","Health Nutrition and Population Statistics","Health Stats","HealthStats provides key health, nutrition and population statistics gathered from a variety of international sources. Themes include population dynamics, nutrition, reproductive health, health financing, medical resources and usage, immunization, infectious diseases, HIV/AIDS, DALY, population projections and lending. HealthStats also includes health, nutrition and population statistics by wealth quintiles.","http://databank.worldbank.org/data/views/variableselection/selectvariables.aspx?source=health-nutrition-and-population-statistics","Time series","English","Annual","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National;Regional","","214.0","","Health","Biannually","April (all data), July (population data)","41540.0","data@worldbank.org","API, Bulk download, Query tool, Mobile app","HNP (CSV) - ZIP(9.91 MB)=http://databank.worldbank.org/data/download/hnp_stats_csv.zip=csv;HNP (Excel) - ZIP(16.8 MB)=http://databank.worldbank.org/data/download/hnp_stats_excel.zip=excel","1.0","HealthStats, World Bank Group","","http://data.worldbank.org/data-catalog/health-nutrition-and-population-statistics","1960 - 2012","http://data.worldbank.org/developers"
"14.0","International Comparison Program","ICP","The International Comparison Program database provides a collection of comparative price data and detailed expenditure values of countries’ gross domestic product (GDP), and estimates of purchasing power parities (PPPs) for the world’s economies.","http://databank.worldbank.org/data/views/variableselection/selectvariables.aspx?source=international-comparison-program-2005","Time series","English","Annual","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National;Regional","","191.0","Data for Taiwan, China are available.","Economic Policy & External Debt","Annual +","Every 5 years","39479.0","icp@worldbank.org","Query tool","","0.0","International Comparison Program, The World Bank","","http://data.worldbank.org/data-catalog/international-comparison-program","2005 - 2005",""
"15.0","Joint External Data Hub","JEDH","External debt data and selected foreign assets from international creditor/market sources.","http://databank.worldbank.org/data/source/joint-external-debt-hub","Time series","English","Quarter","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National","","218.0","","Economic Policy & External Debt","Quarterly","January, April, July. October","41486.0","data@worldbank.org","Query tool","","0.0","Joint External Data Hub","","http://data.worldbank.org/data-catalog/joint-external-data-hub","1990 - Current",""
"16.0","Logistics Performance Index","LPI","The Logistics Performance Index overall score reflects assessments of a country's logistics based on efficiency of the customs clearance process, quality of trade- and transport-related infrastructure, ease of arranging competitively priced shipments, quality of logistics services, ability to track and trace consignments, and frequency with which shipments reach the consignee within the scheduled time. The index ranges from 1 to 5, with a higher score representing better performance. Data are from Logistics Performance Index surveys conducted by the World Bank in partnership with academic and international institutions and private companies and individuals engaged in international logistics. 2011 round of surveys covered more than 6,000 country assessments by nearly 1,000 international freight forwarders. Respondents evaluated eight markets on six core dimensions using a scale from 1 (worst) to 5 (best). The markets are chosen based on the most important export and import markets of the respondent's country, random selection, and, for landlocked countries, neighboring countries that connect them with international markets. Scores for the six areas are averaged across all respondents and aggregated to a single score using principal components analysis. Details of the survey methodology and index construction methodology are in Connecting to Compete 2012: Trade Logistics in the Global Economy (2012). ","http://go.worldbank.org/88X6PU5GV0","Cross Sectional;Time series","English","Annual","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National","","155.0","Data are available for 2006 and 2009. Data for Taiwan, China are available.","Economic Policy & External Debt","Annual +","Every 2-3 years","January, 2010","tradefacilitation@worldbank.org","Query tool","","0.0","Logistics Performance Index, The World Bank","","http://data.worldbank.org/data-catalog/logistics-performance-index","2006 - 2009",""
"17.0","Private Participation in Infrastructure","PPI","The primary source of information on private participation in infrastructure in low- and middle-income countries. It contains more than 25 years of data on private participation in infrastructure in 137 countries. The data set includes information on more than 5,000 infrastructure projects.","http://ppi.worldbank.org/index.aspx","Time series;Transactions","English","Annual","EAP, ECA, LAC, MNA, SAS, SSA, LMY, IBRD, IDA","Project","","137.0","Derived from microdata. Original microdata are also available.","Infrastructure, Private Sector","Annually","Annually sector by sector, from March to October","41486.0","ppidatabase@worldbank.org","Query tool","","0.0","PPI Database, World Bank and PPIAF","","http://data.worldbank.org/data-catalog/private-participation-in-infrastructure","1984 - 2011",""
"18.0","Quarterly External Debt Statistics","QEDS/SDDS","Quarterly External Debt Statistics (QEDS) database provides detailed external debt data that are published individually by countries that subscribe to the IMF’s Special Data Dissemination Standard (SDDS) as well as GDDS participating countries that are in a position to produce the external debt data prescribed by the SDDS.","http://databank.worldbank.org/data/views/variableselection/selectvariables.aspx?source=quarterly-external-debt-statistics/sdds","Time series","English","Quarter","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National","","70.0","","Economic Policy & External Debt","Quarterly","January, April, July, October","41486.0","DDG_FinFiles@worldbank.org","Bulk download, Query tool","QEDS/SDDS (Excel)=http://go.worldbank.org/COI14YYJP0=excel","0.0","Quarterly External Debt Statistics, The World Bank","","http://data.worldbank.org/data-catalog/quarterly-external-debt-statistics-ssds","",""
"19.0","Quarterly External Debt Statistics","QEDS/GDDS","Quarterly External Debt Statistics (QEDS) provides external debt data for an extension of countries that participate in the IMF's General Data Dissemination System (GDDS) in February 2008.","http://databank.worldbank.org/data/views/variableselection/selectvariables.aspx?source=quarterly-external-debt-statistics/gdds","Time series","English","Quarter","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National","","49.0","","Economic Policy & External Debt","Quarterly","January, April, July, October","41486.0","DDG_FinFiles@worldbank.org","Bulk download, Query tool","QEDS/GDDS (Excel)=http://web.worldbank.org/WBSITE/EXTERNAL/DATASTATISTICS/EXTDECQEDS/0,,contentMDK:21567094~menuPK:4699878~pagePK:64168445~piPK:64168309~theSitePK:1805415,00.html=excel","0.0","Quarterly External Debt Statistics, The World Bank","","http://data.worldbank.org/data-catalog/quarterly-external-debt-statistics-gdds","",""
"20.0","Documents & Reports","","Documents & Reports, previously known as World Development Sources (WDS) contains more than 145,000 publically available World Bank documents that enable sharing the institution's extensive knowledge base and implementing its access to information policy. It includes operational documents (project documents, analytical and advisory work, and evaluations), formal and informal research papers, and most Bank publications in more than 60 languages.","http://documents.worldbank.org/curated/en/home","Cross sectional","English","","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","Other","","","","Agriculture & Rural Development, Aid Effectiveness, Climate Change, Economic Policy & External Debt, Education, Energy & Mining, Environment, Financial Sector, Gender, Health, Infrastructure, Labor & Social Protection, Poverty, Private Sector, Public Sector, Science & Technology, Social Development, Urban Development","Daily","","Current","documents@worldbank.org","API, Query tool","","1.0","Projects related data from SAP, other data from IW","","http://data.worldbank.org/data-catalog/documents-and-reports","1946 - Current","http://search.worldbank.org/api/v2/wds"
"21.0","African Cities Diagnostic","","This dataset contains 45 indicators for 31 African cities, related to urbanization, solid waste management, water resources availability, water supply services, sanitation services, flood hazards and economic and institutional strength. ","","Time series","English","Annual","SSA, LMY, IDA, IBRD","City or metropolitan","","21.0","The data contained in this general study of 31 African cities has to be considered with a degree of caution due to inconsistencies in definitions, measurements, and data collection methodologies. The inherent complexities of the sector, the difficulties in measuring institutional arrangements, and the validation of the data found added limitations to the data set. ","Urban Development","No fixed schedule","","","whelpdesk@worldbank.org ","Bulk download","African Cities Diagnostics (Excel) (80KB)=http://data.worldbank.org/sites/default/files/data/opendata.31cities.v2.xls=xls","0.0","Jacobsen, M., Webster, M. and Vairavamoorthy, K. The Future of Water in African Cities: Why Waste Water? 31 Cities Diagnostic Database. ","","http://data.worldbank.org/data-catalog/african-cities-diagnostics","2002 - 2012",""
"22.0","Global Financial Development","GFDD","The Global Financial Development Database is an extensive dataset of financial system characteristics for 203 economies. The database includes measures of (1) size of financial institutions and markets (financial depth), (2) degree to which individuals can and do use financial services (access), (3) efficiency of financial intermediaries and markets in intermediating resources and facilitating financial transactions (efficiency), and (4) stability of financial institutions and markets (stability).   For a complete description of the dataset and a discussion of the underlying literature, see: Martin Čihák, Aslı Demirgüç-Kunt, Erik Feyen, and Ross Levine, 2012. ""Benchmarking Financial Systems Around the World."" World Bank Policy Research Working Paper 6175, World Bank, Washington, D.C. ","http://databank.worldbank.org/data/views/variableselection/selectvariables.aspx?source=global-financial-development","Time series","English","Annual","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National;Regional","","203.0","Indicators with underlying data from Bankscope - Bureau Van Dijk are constructed using bank-by-bank unconsolidated data. These indicators may be updated during the year to reflect Bankscope updates.","Economic Policy & External Debt","Annually","September","41386.0","gfdr2013@worldbank.org ","API, Bulk download, Query tool","GFDD (Excel)-ZIP (2.99 MB)=http://databank.worldbank.org/data/download/GFDD_Excel.zip=excel;GFDD  (CSV)-ZIP (1.09 MB)=http://databank.worldbank.org/data/download/GFDD_csv.zip=csv","1.0","Data source: Global Financial Development Database (GFDD), The World Bank. Methodology citation: Martin Čihák, Aslı Demirgüç-Kunt, Erik Feyen, and Ross Levine, 2012. ""Benchmarking Financial Systems Around the World."" World Bank Policy Research Working Paper 6175, World Bank, Washington, D.C.","","http://data.worldbank.org/data-catalog/global-financial-development","1960 - 2010","http://data.worldbank.org/developers"
"23.0","Services Trade Restrictions Database","STRD","The Services Trade Restrictions Database collects information on applied services trade policies across 103 countries, 18 services sectors (covering telecommunications, finance, transportation, retail and professional services) and key modes of service supply. It contains qualitative policy information as well as a preliminary quantification of applied measures' restrictiveness. ","http://iresearch.worldbank.org/servicetrade","Cross sectional","English","Annual","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National","","103.0","Each country is covered in one year from within the 2008-11 range. Policy measures covered include restrictions on entry and legal form, licensing and operations as well as aspects of the regulatory environment. Information derived from a questionnaire and/or supporting data collection efforts.","Public Sector, Economic Policy & External Debt","Annually","","40634.0","servicestrade@worldbank.org","Query tool","","0.0","Services Trade Restrictions Database, World Bank Group","","http://data.worldbank.org/data-catalog/services-trade-restrictions","2008 - 2011",""
"24.0","World Development Report 2013 on Jobs Statistical Tables","","The World Development Report 2013 on Jobs statistical tables provide national level data on a broad range of issues related to labor force participation, employment structure, wage inequality, skills and productivity, youth idleness and unemployment, social cohesion, migration, and core labor conventions. ","","Time series","English","Annual","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National","","156.0","","Labor & Social Protection, Education, Gender","No fixed schedule","","","wdr2013@worldbank.org","Bulk download, Mobile app","WDR 2013 Statistical Tables=http://data.worldbank.org/sites/default/files/data/wdr2013_statistical_tables.xls=excel;WDR 2013 Statistical Annex Tables Notes=http://data.worldbank.org/sites/default/files/wdr-2013-statistical-annex-tables-notes.pdf=pdf","0.0","World Development Report 2013 on Jobs Statistical Tables, World Bank Group","","http://data.worldbank.org/data-catalog/wdr-2013-jobs","1995 - 2010",""
"25.0","WDR2013 Occupational Wages around the World","WDR2013 OWW","The WDR2013 OWW database contains occupation wage data for 161 occupations in 171 countries from 1983 to 2008. The occupation wage data are derived from the ILO October Inquiry database laborsta.ilo.org by calibrating the data into normalized wage rate for each occupation. The normalized wages refer to average hourly or monthly wage rates for adult workers. Remco Oostendorp, 2012, “The Occupational Wages around the World (OWW) Database: Update for 1983-2008).” World Development Report 2013 Background paper. ","","Time series","English","Annual","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National","","171.0","","Labor & Social Protection","No fixed schedule","","","wdr2013@worldbank.org","Bulk download","Occupational Wages (Zip) (5.00 MB)=http://data.worldbank.org/sites/default/files/data/wdr2013_occupational_wages_0.zip=zip","0.0","WDR2013 Occupational Wages around the World, World Bank Group","","http://data.worldbank.org/data-catalog/occupational-wages","1983 - 2008",""
"26.0","WDR2013 Survey on Good Jobs","WDR2013 SGJ","The Survey on Good Jobs gathers data on perceptions of jobs and how they vary with wealth, gender, income, labor status, sector of employment, experience and education level, constraints to accessing good jobs within the local context, barriers to labor market entry (which includes wage employment and self-employment in non-farm and farm activities) and potential solutions for these barriers (causes of joblessness/unemployment). It also gathers data on the valuation of the trade-off of various job characteristics (e.g., stability of income versus level of income, social insurance versus level of income) and how individuals view good jobs at a more aggregate level (the role of jobs in the community, society). ","","Survey(Microdata)","English","Annual","EAP, IBRD, MNA, SSA, LMY, IDA, LAC","Household","","4.0","","Labor & Social Protection, Education, Gender","No fixed schedule","","","wdr2013@worldbank.org","Bulk download","FAFO Survey on China - ZIP (4.12 MB)=http://data.worldbank.org/sites/default/files/data/wdr2013_fafo_survey_china_0.zip=zip;FAFO Survey on Columbia - ZIP (4.55 MB)=http://data.worldbank.org/sites/default/files/data/wdr2013_fafo_survey_colombia_0.zip=zip;FAFO Survey on Egypt - ZIP (4.14 MB)=http://data.worldbank.org/sites/default/files/data/wdr2013_fafo_survey_egypt.zip=zip;FAFO Survey on Good Jobs - Sierra Leone - ZIP (4.09 MB)=http://data.worldbank.org/sites/default/files/data/wdr2013_fafo_survey_sierraleone.zip=zip","0.0","WDR2013 Survey on Good Jobs, World Bank Group","","http://data.worldbank.org/data-catalog/survey-good-jobs","2012 - 2012",""
"27.0","Worldwide Governance Indicators","WGI","Aggregate and individual governance indicators for 215 countries and territories over the period 1996–2011, for six dimensions of governance. ","http://databank.worldbank.org/data/views/variableselection/selectvariables.aspx?source=worldwide-governance-indicators","Time series","English","Annual","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National","","215.0","","Public Sector","Annually","September","41166.0","research@worldbank.org","Query tool","","1.0","Worldwide Governance Indicators (www.govindicators.org)","","http://data.worldbank.org/data-catalog/worldwide-governance-indicators","1996 - 2011","http://data.worldbank.org/developers"
"28.0","Privatization Database","","Privatization Database provides information on privatization transactions of at least US$1 million in developing countries from 2000 to 2008. Prior to this effort the most comprehensive information could be found in the World Bank’s Privatization Transactions database, which covered the years 1990 through 1999. ","http://rru.worldbank.org/Privatization/","Time series","English","Annual","EAP, ECA, LAC, MNA, SAS, SSA, LMY, IBRD, IDA","National","","139.0","","Financial Sector, Private Sector, Energy & Mining, Infrastructure","Annually","","","ajett@worldbank.org","Query tool","","0.0","Private Participation in Infrastructure (PPI) database  (http://ppi.worldbank.org/), Privatization Barometer (http://www.privatizationbarometer.net/database.php), etc.","","http://data.worldbank.org/data-catalog/privatization-database","1990 - 2008",""
"29.0","IDA Results Measurement System","IDA","The IDA Results Measurement System dataset measures progress on aggregate outcomes for IDA countries for selected indicators. It includes 32 key country outcome indicators covering areas that are consistent with the Millennium Development Goals, are priorities in many national development plans and/or poverty reduction strategies, and reflect IDA's activities in IDA countries. The indicators capture both the economic growth and the human development priorities of ongoing IDA programs.","http://databank.worldbank.org/data/views/variableselection/selectvariables.aspx?source=ida-results-measurement-system","Time series","English","Annual","SAS, LMY, IBRD, IDA, SSA, ECA, LAC, EAP, MNA","National;Regional","","97.0","","Agriculture & Rural Development, Aid Effectiveness, Climate Change, Economic Policy & External Debt, Education, Energy & Mining, Environment, Financial Sector, Gender, Health, Infrastructure, Labor & Social Protection, Poverty, Private Sector, Public Sector, Science & Technology, Social Development, Urban Development","Quarterly","April, July, September, December","41548.0","data@worldbank.org","API, Query tool","","1.0","IDA Results Measurement System 2013, the World Bank","","http://data.worldbank.org/data-catalog/IDA-results-measurement","1990 - 2012","http://data.worldbank.org/developers"
"30.0","Business Environment and Enterprise Performance Survey","BEEPS","The Business Environment and Enterprise Performance Survey provides firm-level data on a broad range of issues about the business environment and performance of firms, including business-government relations, firm financing, labor, infrastructure, informal payments and corruption, and other topics such as training and innovation. ","http://beeps.prognoz.com/","Survey(Microdata)","English","Annual","EAP, ECA, LAC, MNA, SAS, SSA, LMY, IBRD, IDA","National;Regional","","29.0","Data are available for 2005 and 2008. Indicators are derived from firm or establishment responses to surveys or other data collections.","Private Sector","Annual +","Every 3 years","2009.0","gkisunko@worldbank.org kjohns1@worldbank.org","Query tool","","0.0","EBRD-World Bank Business Environment and Enterprise Performance Survey (BEEPS)","","http://data.worldbank.org/data-catalog/BEEPS","",""
"31.0","Country Policy and Institutional Assessment","CPIA","Rating of countries against a set of 16 criteria grouped in four clusters: economic management, structural policies, policies for social inclusion and equity, and public sector management and institutions. ","http://www.worldbank.org/ida/IRAI-2011.html","Cross sectional","English","Annual","EAP, ECA, LAC, MNA, SAS, SSA, LMY, IDA","National","","77.0","","Economic Policy & External Debt, Public Sector","Annually","June","June, 2010","opcs@worldbank.org","Query tool","","0.0","Country Policy and Institutional Assessment, World Bank Group","","http://data.worldbank.org/data-catalog/CPIA","2005 - 2009",""
"32.0","GEM Commodities","","The World Bank collection of monthly commodities prices and indices from 1960 to present, updated each month, as presented in the Commodity Price Data (a.k.a. Pink Sheet), published continuously for more than half a century.","http://databank.worldbank.org/data/views/variableselection/selectvariables.aspx?source=global-economic-monitor-(gem)-commodities","Time series","English","Month","WLD","Regional","","","","Economic Policy & External Debt","Monthly","","41517.0","gcm@worldbank.org","API, Query tool","","1.0","GEM Commodities, World Bank Group","","http://data.worldbank.org/data-catalog/commodity-price-data","1960 - Current","http://data.worldbank.org/developers"
"33.0","Remittance Prices Worldwide","","Provides data on the cost of sending and receiving relatively small amounts of money from one country to another. Data cover 220 ""country corridors"" worldwide, from 32 remittance sending countries to 89 receiving countries.","http://remittanceprices.worldbank.org/","Time series","English","Quarter","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National","","121.0","","Financial Sector","Quarterly","March,June,September, December","41547.0","data@worldbank.org","Query tool","","0.0","Remittance Prices Worldwide, World Bank Group","","http://data.worldbank.org/data-catalog/remittance-prices","2008 - 2013",""
